license_number,business_name,dba_name,city,county,weedmaps_url,leafly_url,verified_url,menu_provider
C10-0001405-LIC,"Metro 1996, LLC [Equity Retailer]",,Sacramento,Sacramento,https://weedmaps.com/dispensaries/metro-1996-equity-retailer-sacramento,https://www.leafly.com/dispensary-info/metro-1996-equity-retailer,,
C10-0000352-LIC,"Migliore, LLC",Abatin Wellness Center,Sacramento,Sacramento,https://weedmaps.com/dispensaries/abatin-center-sacramento,https://www.leafly.com/dispensary-info/abatin-center,,
C10-0001156-LIC,Mind Inc [Equity Retailer],The Pocket Dispensary [Equity Retailer],Sacramento,Sacramento,https://weedmaps.com/dispensaries/the-pocket-equity-retailer-sacramento,https://www.leafly.com/dispensary-info/the-pocket-equity-retailer,,
C10-0001556-LIC,"North Country Operations, Inc","NORTH COUNTRY OPERATIONS, INC",Sacramento,Sacramento,https://weedmaps.com/dispensaries/north-country-operations-sacramento,https://www.leafly.com/dispensary-info/north-country-operations,,
C10-0000319-LIC,"P.S.A.C., Inc.",Zen Garden Wellness,Sacramento,Sacramento,https://weedmaps.com/dispensaries/zen-garden-sacramento,https://www.leafly.com/dispensary-info/zen-garden,,
C10-0000711-LIC,Pdee Inc,,Sacramento,Sacramento,https://weedmaps.com/dispensaries/pdee-sacramento,https://www.leafly.com/dispensary-info/pdee,,
C10-0000350-LIC,"Perchta, Inc [Equity Retailer]",Kolas #102 [Equity Retailer],Sacramento,Sacramento,https://weedmaps.com/dispensaries/kolas-102-equity-retailer-sacramento,https://www.leafly.com/dispensary-info/kolas-102-equity-retailer,,
C10-0001521-LIC,Pgsr Management LLC [Equity Retailer],Toasty [Equity Retailer],Sacramento,Sacramento,https://weedmaps.com/dispensaries/toasty-equity-retailer-sacramento,https://www.leafly.com/dispensary-info/toasty-equity-retailer,,
C10-0000199-LIC,River City Phoenix,Perfect Union,Sacramento,Sacramento,https://weedmaps.com/dispensaries/perfect-union-sacramento,https://www.leafly.com/dispensary-info/perfect-union,,
C10-0000154-LIC,"Roseville Gold, Inc.",Two Rivers Wellness,Sacramento,Sacramento,https://weedmaps.com/dispensaries/two-rivers-sacramento,https://www.leafly.com/dispensary-info/two-rivers,,
C10-0000351-LIC,Sacramento Commercial Services,LEMONNADE SOUTH,Sacramento,Sacramento,https://weedmaps.com/dispensaries/lemonnade-south-sacramento,https://www.leafly.com/dispensary-info/lemonnade-south,,
C10-0000330-LIC,Sacramento Community Cannabis Collective,Connected Sacramento,Sacramento,Sacramento,https://weedmaps.com/dispensaries/connected-sacramento-sacramento,https://www.leafly.com/dispensary-info/connected-sacramento,,
C10-0001046-LIC,"Sacramento King Equity Venture, Inc. [Equity Retailer]",Zen Garden [Equity Retailer],Sacramento,Sacramento,https://weedmaps.com/dispensaries/zen-garden-equity-retailer-sacramento,https://www.leafly.com/dispensary-info/zen-garden-equity-retailer,,
C10-0000784-LIC,"Safe Accessible Solutions, Inc.",Cookies Sacramento,Sacramento,Sacramento,https://weedmaps.com/dispensaries/cookies-sacramento-sacramento,https://www.leafly.com/dispensary-info/cookies-sacramento,,
C10-0001444-LIC,Seedstar,Seedstar Cannabis,Sacramento,Sacramento,https://weedmaps.com/dispensaries/seedstar-sacramento,https://www.leafly.com/dispensary-info/seedstar,,
C10-0000263-LIC,Septem Coma Inc.,Symbiotic Sacramento,Sacramento,Sacramento,https://weedmaps.com/dispensaries/symbiotic-sacramento-sacramento,https://www.leafly.com/dispensary-info/symbiotic-sacramento,,
